Date,Campaign ID,Campaign Name,Targeting Type,Targeting Value,Match Type,Most Viewed Position,Pacing Type,CPM,Impressions,Direct ATC,Indirect ATC,Direct Quantities Sold,Indirect Quantities Sold,Direct Sales,Indirect Sales,New Users Acquired,Estimated Budget Consumed,Direct RoAS,Total RoAS
26-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,450,245,19,2,7,1,783,69,6,112.8,6.941489362,7.553191489
27-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,75,4,0,3,0,387,0,3,45,8.6,8.6
27-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,1430,115,10,53,6,6777,564,44,2174.3,3.116865198,3.376259026
27-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,450,108,13,4,11,4,1359,526,8,49.6,27.39919355,38.00403226
27-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,191,13,2,11,2,1359,288,7,114.6,11.85863874,14.37172775
27-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,450,105,6,0,5,0,495,0,2,48.9,10.12269939,10.12269939
26-05-2026,500611,Clone of Bowl - May'26,Keyword,katori,EXACT,1,DAILY,550,2,0,0,0,0,0,0,0,1.1,0,0
27-05-2026,500611,Clone of Bowl - May'26,Keyword,katori,EXACT,1,DAILY,550,896,8,3,2,3,198,407,5,497,0.398390342,1.217303823
27-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,550,119,10,0,6,0,684,0,5,66.8,10.23952096,10.23952096
26-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1600,4,0,0,0,0,0,0,0,6.4,0,0
27-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1600,1003,80,8,41,9,4869,821,38,1604.8,3.034022931,3.545613161
27-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,5,DAILY,500,655,12,0,8,0,1002,0,6,327.5,3.059541985,3.059541985
23-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,5,DAILY,650,1,0,0,0,0,0,0,0,0.7,0,0
27-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,5,DAILY,650,21,0,0,0,0,0,0,0,13.8,0,0
27-05-2026,500613,Paper Plates - May'26,Keyword,plate,EXACT,1,DAILY,501,10502,125,8,74,6,7756,594,62,5257.6,1.475197809,1.588177115
27-05-2026,500613,Paper Plates - May'26,Keyword,plates,EXACT,1,DAILY,601,2929,30,5,15,3,1985,297,16,1759,1.128482092,1.297328027
27-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,1,DAILY,914,485,4,3,3,3,407,297,4,441.9,0.921022856,1.593120616
27-05-2026,500613,Paper Plates - May'26,Keyword,plates,EXACT,1,DAILY,690,1271,15,6,6,2,814,198,7,880.4,0.924579736,1.14947751
28-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,305,28,0,17,0,1863,0,17,183,10.18032787,10.18032787
28-05-2026,500611,Clone of Bowl - May'26,Keyword,katori,EXACT,1,DAILY,550,1271,31,4,18,1,2142,119,15,704.2,3.041749503,3.210735586
28-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,550,259,22,0,16,0,1674,0,14,144.5,11.58477509,11.58477509
28-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1600,3086,252,16,171,13,19089,1697,145,4937.6,3.866048283,4.209737524
28-05-2026,500613,Paper Plates - May'26,Keyword,plate,EXACT,1,DAILY,501,21963,271,30,187,20,21223,2340,146,10997.9,1.92973204,2.142499932
28-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,1,DAILY,914,3094,58,5,33,3,3977,297,29,2825.4,1.407588306,1.512706165
28-05-2026,500613,Paper Plates - May'26,Keyword,plates,EXACT,1,DAILY,690,1539,31,0,24,0,2906,0,14,1065.9,2.726334553,2.726334553
29-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,251,16,0,10,0,1080,0,9,150.6,7.171314741,7.171314741
29-05-2026,500611,Clone of Bowl - May'26,Keyword,katori,EXACT,1,DAILY,550,1025,10,0,8,0,972,0,5,568.2,1.710665259,1.710665259
29-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,550,302,19,1,7,1,693,169,7,168.6,4.110320285,5.112692764
