Date,Product Name,Campaign Name,Brand Name,Category,Product ID,Ad Spend,Ad Impressions,CPM,Add to Cart,Orders (SKU),Ad Revenue,ROAS,Other SKU Orders,Same Category Orders,Other SKU Ad Revenue
2026-06-29 00:00:00,Chuk Disposable Meal Plate - 4 Compartment  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197860,204.78,298,687.18,10,5,1865,9.11,3,5,867
2026-07-08 00:00:00,Chuk Disposable Plate With Cutlery - 228.6 mm  10 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359936,329.05,360,914.03,6,7,783,2.38,7,7,783
2026-07-04 00:00:00,Chuk Disposable Snack Plate - 26 cm  25 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40220813,758.34,861,880.77,1,25,6782,8.94,13,25,2954
2026-07-09 00:00:00,Chuk Disposable Snack Plate - 26 cm  25 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40220813,929.03,1174,791.34,56,30,8855,9.53,19,30,5027
2026-06-24 00:00:00,Chuk 3 CP Meal Plate  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197858,459.09,676,679.13,12,11,3777,8.23,6,11,1863
2026-06-24 00:00:00,Chuk 3 CP Meal Plate  25 pcs,Discovery Partial June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197858,0,0,0,0,0,0,0,0,0,0
2026-06-25 00:00:00,Chuk Disposable Snack Plate - 26 cm  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40220813,209.12,270,774.5,4,5,812,3.88,5,5,812
2026-06-13 00:00:00,Chuk Disposable Bowl - 250 ml  25 pcs,Discovery Partial June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197852,0,0,0,0,0,0,0,0,0,0
2026-06-16 00:00:00,Chuk Disposable Snack Plate - 26 cm  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40220813,488.5,728,671.02,9,15,2285,4.68,14,15,1966
2026-06-16 00:00:00,Chuk Disposable Bowl - 250 ml  25 pcs,Discovery Partial June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197852,1.8,2,900,0,0,0,0,0,0,0
2026-06-16 00:00:00,Chuk Serving Bowls/Dona  25 pcs,Discovery Partial June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197851,329.4,354,930.51,0,6,604,1.83,3,6,307
2026-06-28 00:00:00,Chuk Disposable Bowl - 120 ml  25 pcs,Disposable Bowl - June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197850,0,0,0,0,0,0,0,0,0,0
2026-05-26 00:00:00,Chuk Disposable Bowl  360 ml (Set of 25),Disposable Bowl - June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359935,754.22,719,1048.98,0,7,1119,1.48,2,7,274
2026-07-10 00:00:00,Chuk Disposable Plate With Cutlery - 228.6 mm  10 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359936,333.86,367,909.7,19,8,2211,6.62,8,8,2211
2026-07-25 00:00:00,Chuk Disposable Plate With Cutlery - 228.6 mm  10 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359936,703.33,769,914.6,22,19,3631,5.16,12,19,2358
2026-07-25 00:00:00,Chuk Disposable Snack Plate - 26 cm  25 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40220813,730.85,846,863.89,25,14,4846,6.63,3,14,1337
2026-07-25 00:00:00,Chuk Disposable 4 Compartment Meal Plate With Cutlery  10 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40349409,775.69,886,875.5,42,28,9926,12.8,14,28,6742
2026-06-20 00:00:00,Chuk Disposable Snack Plate - 18 cm  25 pcs,Discovery Partial June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197854,594.91,625,951.86,0,11,2478,4.17,8,11,2031
2026-06-20 00:00:00,Chuk Disposable Bowl  360 ml (Set of 25),Discovery Partial June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359935,486.14,417,1165.8,0,3,1006,2.07,2,3,837
2026-05-03 00:00:00,Chuk Disposable Bowl - 120 ml  25 pcs,Disposable Bowl - June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197850,1436.04,1615,889.19,57,45,7971,5.55,23,45,5746
2026-06-18 00:00:00,Chuk 3 CP Meal Plate  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197858,278.56,446,624.57,0,4,846,3.04,2,4,208
2026-06-09 00:00:00,Chuk 3 CP Meal Plate  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197858,227.94,358,636.7,8,5,1595,7,0,5,0
2026-07-11 00:00:00,Chuk Disposable 4 Compartment Meal Plate With Cutlery  10 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40349409,479.35,547,876.33,10,5,721,1.5,3,5,323
2026-05-22 00:00:00,"Chuk Disposable Mini Meal Plate - Square,23 cm  25 pcs",Disposable Plate - Smart Bid,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197855,0,0,0,0,0,0,0,0,0,0
2026-05-21 00:00:00,Chuk Disposable Snack Plate - 30 cm  25 pcs,Disposable Plate - Smart Bid,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40220814,0,0,0,0,0,0,0,0,0,0
2026-06-11 00:00:00,Chuk Disposable Meal Plate - 4 Compartment  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197860,205.42,320,641.94,0,6,2335.92,11.37,3,6,887
2026-06-10 00:00:00,Chuk 3 CP Meal Plate  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197858,281.28,450,625.07,8,12,2458,8.74,8,12,1182
2026-05-07 00:00:00,Chuk Disposable Meal Plate - 5 Compartment  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197861,2.04,3,680,0,0,0,0,0,0,0
2026-05-27 00:00:00,Chuk Disposable Bowl - 120 ml  25 pcs,Disposable Bowl - June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197850,1405.54,1665,844.17,0,26,2980,2.12,10,26,1556
2026-05-27 00:00:00,Chuk Disposable Snack Plate - 26 cm  25 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40220813,1234.32,1563,789.71,0,7,2152,1.74,3,7,557
2026-05-27 00:00:00,Chuk Disposable Plate With Cutlery - 228.6 mm  10 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359936,1213.3,1515,800.86,0,13,2649,2.18,9,13,1913
2026-05-01 00:00:00,Chuk Disposable Snack Plate - 15 cm  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40220812,1044.5,1153,905.9,25,29,4918,4.71,15,29,3133
2026-06-01 00:00:00,Chuk Disposable Bowl  360 ml (Set of 25),Disposable Bowl - June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359935,0,0,0,0,0,0,0,0,0,0
2026-05-23 00:00:00,Chuk Disposable 4 Compartment Meal Plate With Cutlery  10 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40349409,1031.67,1328,776.86,0,26,5282,5.12,14,26,2496
2026-06-14 00:00:00,Chuk Disposable Bowl - 250 ml  25 pcs,Discovery Partial June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197852,0,0,0,0,0,0,0,0,0,0
2026-07-02 00:00:00,Chuk Disposable Snack Plate - 18 cm  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197854,0,0,0,0,0,0,0,0,0,0
2026-06-27 00:00:00,Chuk 3 CP Meal Plate  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197858,427.72,566,755.69,15,16,3744,8.75,7,16,873
2026-07-08 00:00:00,Chuk 3 CP Meal Plates With Cutlery  10 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359934,517.39,579,893.59,36,10,1570,3.03,6,10,736
2026-06-13 00:00:00,Chuk 3 CP Meal Plate  25 pcs,Discovery Partial June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197858,686.85,674,1019.07,12,11,3329,4.85,3,11,777
2026-06-13 00:00:00,Chuk Disposable Bowl - 120 ml  25 pcs,Discovery Partial June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197850,374.06,280,1335.93,2,5,675,1.8,1,5,319
2026-07-06 00:00:00,Chuk 3 CP Meal Plates With Cutlery  10 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359934,538.89,593,908.75,12,7,1932,3.59,3,7,1376
2026-07-18 00:00:00,Chuk 3 CP Meal Plates With Cutlery  10 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359934,713.78,776,919.82,20,15,2883,4.04,11,15,2327
2026-06-23 00:00:00,Chuk Disposable Bowl - 120 ml  25 pcs,Disposable Bowl - June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197850,0,0,0,0,0,0,0,0,0,0
2026-06-16 00:00:00,Chuk Disposable Bowl  360 ml (Set of 25),Discovery Partial June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359935,521.48,433,1204.34,2,3,457,0.88,1,3,119
2026-07-17 00:00:00,Chuk Disposable 4 Compartment Meal Plate With Cutlery  10 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40349409,309.68,342,905.5,24,17,3571,11.53,7,17,1382
2026-06-19 00:00:00,Chuk Disposable Snack Plate - 18 cm  25 pcs,Discovery Partial June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197854,445.76,466,956.57,2,2,288,0.65,1,2,139
2026-06-19 00:00:00,Chuk 3 CP Meal Plate  25 pcs,Discovery Partial June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197858,530.64,544,975.44,15,11,2965,5.59,3,11,413
2026-06-19 00:00:00,Chuk Disposable Snack Plate - 18 cm  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197854,827.07,1189,695.6,37,22,4545,5.5,13,22,3055
2026-07-12 00:00:00,Chuk Disposable Snack Plate - 26 cm  25 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40220813,1071.8,1366,784.63,35,38,9831,9.17,23,38,5046
2026-07-13 00:00:00,Chuk Disposable Snack Plate - 26 cm  25 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40220813,943.35,1241,760.15,49,43,9787,10.37,33,43,6597
2026-07-05 00:00:00,Chuk Disposable Plate With Cutlery - 228.6 mm  10 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359936,249.75,285,876.32,3,4,516,2.07,2,4,238
2026-06-21 00:00:00,Chuk Disposable Snack Plate - 18 cm  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197854,827.7,1216,680.67,14,20,4288,5.18,14,20,3394
2026-06-21 00:00:00,Chuk Disposable Snack Plate - 18 cm  25 pcs,Discovery Partial June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197854,567.74,595,954.18,3,5,935,1.65,3,5,637
2026-07-20 00:00:00,Chuk Disposable Bowl  360 ml (Set of 25),Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359935,213.28,97,2198.76,33,10,1329,6.23,7,10,822
2026-07-20 00:00:00,Chuk Serving Bowls/Dona  25 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197851,24,37,648.65,12,4,376,15.67,2,4,178
2026-07-21 00:00:00,Chuk 3 CP Meal Plates With Cutlery  10 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359934,232.9,300,776.33,9,2,288,1.24,1,2,149
2026-05-26 00:00:00,Chuk Disposable Bowl - 250 ml  25 pcs,Disposable Bowl - June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197852,2.4,4,600,0,0,0,0,0,0,0
